buckets10doc_count	buckets10key	buckets1doc_count	buckets1key	buckets2doc_count	buckets2key	buckets3doc_count	buckets3key	buckets4doc_count	buckets4key	buckets5doc_count	buckets5key	buckets6doc_count	buckets6key	buckets7doc_count	buckets7key	buckets8doc_count	buckets8key	buckets9doc_count	buckets9key	doc_count	doc_count_error_upper_bound	key	keys1	sum_other_doc_count	value
128556	GiONEE	504266	iPhone 6	415111	iPhone 5s	341480	iPhone 6 Plus	242824	msm8916_32	238165	cancro	183738	dior	180376	iPhone 4S	147781	R7	134428	iPhone 5	9331400	0	中国移动	iPhone 6	6814214	504266.0
37546	msm8916_32	162065	iPhone 6	142496	iPhone 5s	118368	iPhone 6 Plus	92993	cancro	81727	iPhone 4S	76919	iPhone 5	42050	gucci	41801	dior	38854	aries	2555217	0	中国联通	iPhone 6	1720255	162065.0
38698	hwC8817D	97928	iPhone 6	94284	Che1	92940	gucci	91181	cancro	68633	iPhone 6 Plus	59039	armani	49487	hwmt7	47366	iPhone 5s	43598	msm8916_32	2165564	0	中国电信	iPhone 6	1482300	97928.0
13828	Coolpad8707	43654	GiONEE	31447	A2800-d	28247	lte26007	24758	mocha	18560	newway82_tb_kk_a106	15994	Coolpad8029	15254	hsdroid	14856	pisces	14655	aries	1907758	0	unknown	GiONEE	1686410	43654.0
1561	iPod Touch	328407	iPad Air	257954	iPad mini 2	186057	iPad Air 2	150126	iPad 4	116183	iPad Mini	63570	iPad 2	41345	iPad 3	38002	iPad mini 3	14952	iPad	1204860	0	none	iPad Air	6644	328407.0
2728	hwCHM-Q	20391	msm8916_32	11530	R7c	8421	A31c	6216	PD1401V	4173	R1C	4035	R3	3795	hwmt7	3173	hwp7	2808	hwALE-Q	202245	0		msm8916_32	134961	20391.0
1596	GiONEE	3895	nox	2779	UIMI4	2420	hsdroid	2271	kylechn	2127	cancro	1935	DEVICE	1730	pisces	1619	dior	1608	msm8916_32	99052	0	CMCC	nox	77070	3895.0
88	ttVM_Hdragon	9711	generic	8954	iToolsAVM	2177	iToolsVM	276	vbox86p	168	ttVM_monster	125	syd	104	angelaboy	100	maguro	90	DEVICE	22174	0	Android	generic	381	9711.0
55	iPhone 4S	3600	iPad Air	3382	iPad 4	2884	iPad Mini	2611	iPad 2	2500	iPad mini 2	1425	iPad 3	1091	iPad Air 2	336	iPad mini 3	103	iPad	18075	0	unKnown	iPad Air	88	3600.0
295	iPhone 5s	4411	ja3g	2809	t03g	1230	hlteatt	970	iPhone 6 Plus	655	iPhone 6	405	Lan779	394	iPhone 6s	352	klte	298	iPhone 6s Plus	12915	0	T-Mobile	ja3g	1095	4411.0
